# Simulation 1 (Up to date)
# 357 data points written for 12 variables.
#
# Tempo (s),Altitude (m),Número de Mach (​),Número de Reynolds (​),Coeficiente de arrasto (​),Coeficiente de arrasto axial (​),Coeficiente de arrasto de atrito (​),Coeficiente de arrasto de pressão (​),Coeficiente de arrasto de base (​),Coeficiente de força normal (​),Temperatura do ar (°C),Pressão do ar (mbar)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
3.451,314.062,0.272,2.53e6,0.506,0.506,0.163,0.213,0.13,2.821e-4,17.621,877.374
3.501,318.697,0.27,2.504e6,0.506,0.506,0.164,0.212,0.13,1.831e-4,17.586,876.898
3.551,323.285,0.267,2.478e6,0.506,0.506,0.164,0.212,0.129,4.672e-4,17.551,876.427
3.601,327.827,0.264,2.452e6,0.506,0.506,0.164,0.212,0.129,3.901e-4,17.517,875.96
3.651,332.323,0.262,2.427e6,0.506,0.506,0.165,0.212,0.129,2.205e-4,17.483,875.498
3.701,336.774,0.259,2.401e6,0.505,0.505,0.165,0.212,0.129,3.281e-4,17.449,875.041
3.751,341.18,0.256,2.376e6,0.505,0.505,0.165,0.212,0.129,3.16e-4,17.416,874.589
3.801,345.541,0.254,2.352e6,0.505,0.505,0.165,0.211,0.129,6.796e-5,17.383,874.141
3.851,349.858,0.251,2.327e6,0.505,0.505,0.166,0.211,0.128,4.021e-4,17.35,873.697
3.901,354.132,0.249,2.303e6,0.505,0.505,0.166,0.211,0.128,2.129e-4,17.318,873.258
3.951,358.362,0.246,2.279e6,0.505,0.505,0.166,0.211,0.128,2.055e-4,17.286,872.824
4.001,362.549,0.244,2.255e6,0.505,0.505,0.167,0.211,0.128,4.218e-4,17.254,872.394
4.051,366.694,0.241,2.231e6,0.505,0.505,0.167,0.211,0.128,3.324e-4,17.223,871.968
4.101,370.797,0.239,2.208e6,0.505,0.505,0.167,0.21,0.128,6.696e-5,17.191,871.546
4.151,374.857,0.236,2.185e6,0.505,0.505,0.167,0.21,0.127,3.517e-4,17.161,871.129
4.201,378.877,0.234,2.162e6,0.505,0.505,0.168,0.21,0.127,5.358e-4,17.13,870.716
4.251,382.855,0.232,2.139e6,0.505,0.505,0.168,0.21,0.127,1.401e-4,17.1,870.308
4.301,386.792,0.229,2.117e6,0.505,0.505,0.168,0.21,0.127,5.923e-4,17.07,869.903
4.351,390.69,0.227,2.094e6,0.505,0.505,0.169,0.21,0.127,6.422e-4,17.041,869.503
4.401,394.547,0.225,2.072e6,0.505,0.505,0.169,0.209,0.127,1.592e-4,17.012,869.107
4.451,398.364,0.222,2.05e6,0.505,0.505,0.169,0.209,0.127,2.138e-4,16.983,868.715
4.501,402.142,0.22,2.029e6,0.505,0.505,0.17,0.209,0.126,2.874e-4,16.954,868.327
4.551,405.881,0.218,2.007e6,0.505,0.505,0.17,0.209,0.126,1.485e-4,16.926,867.943
4.601,409.581,0.216,1.986e6,0.505,0.505,0.17,0.209,0.126,2.95e-4,16.898,867.563
4.651,413.242,0.213,1.964e6,0.505,0.505,0.171,0.209,0.126,5.988e-4,16.87,867.186
4.701,416.865,0.211,1.943e6,0.505,0.505,0.171,0.208,0.126,3.012e-4,16.843,866.814
4.751,420.451,0.209,1.923e6,0.505,0.505,0.171,0.208,0.126,1.725e-4,16.815,866.446
4.801,423.998,0.207,1.902e6,0.505,0.505,0.171,0.208,0.126,5.827e-4,16.789,866.082
4.851,427.509,0.205,1.881e6,0.505,0.505,0.172,0.208,0.126,5.406e-4,16.762,865.721
4.901,430.982,0.202,1.861e6,0.505,0.505,0.172,0.208,0.126,2.431e-4,16.736,865.364
4.951,434.419,0.2,1.841e6,0.506,0.506,0.172,0.208,0.125,3.351e-4,16.71,865.011
5.001,437.818,0.198,1.821e6,0.506,0.506,0.173,0.207,0.125,5.046e-4,16.684,864.662
5.051,441.182,0.196,1.801e6,0.506,0.506,0.173,0.207,0.125,4.184e-4,16.658,864.316
5.101,444.51,0.194,1.781e6,0.506,0.506,0.173,0.207,0.125,1.536e-4,16.633,863.975
5.151,447.801,0.192,1.761e6,0.506,0.506,0.174,0.207,0.125,1.259e-4,16.608,863.637
5.201,451.058,0.19,1.742e6,0.506,0.506,0.174,0.207,0.125,2.644e-4,16.584,863.302
5.251,454.279,0.188,1.723e6,0.506,0.506,0.174,0.207,0.125,1.571e-4,16.559,862.971
5.301,457.464,0.186,1.703e6,0.506,0.506,0.175,0.207,0.125,1.113e-4,16.535,862.644
5.351,460.615,0.184,1.684e6,0.506,0.506,0.175,0.206,0.125,2.184e-4,16.511,862.32
5.401,463.732,0.182,1.665e6,0.506,0.506,0.175,0.206,0.124,3.021e-4,16.488,862
5.451,466.814,0.18,1.647e6,0.506,0.506,0.176,0.206,0.124,2.109e-4,16.464,861.684
5.501,469.862,0.178,1.628e6,0.506,0.506,0.176,0.206,0.124,1.804e-4,16.441,861.371
5.551,472.876,0.176,1.61e6,0.507,0.507,0.176,0.206,0.124,1.063e-4,16.418,861.061
5.601,475.856,0.174,1.591e6,0.507,0.507,0.177,0.206,0.124,9.631e-5,16.396,860.755
5.651,478.802,0.172,1.573e6,0.507,0.507,0.177,0.206,0.124,1.244e-4,16.373,860.452
5.701,481.716,0.17,1.555e6,0.507,0.507,0.177,0.205,0.124,2.599e-4,16.351,860.153
